university,abbreviation,department_name,course_title,unit_count,professor,objective,prerequisite,required_skills,outcome,references,scores,description,projects,university_homepage,course_homepage,professor_homepage
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 479 - Time Series Analysis, 3,,, STAT 372 and 378. Note: This course may only be offered in alternate years.,,,,," Stationary series, spectral analysis, models in time series: autoregressive, moving average, ARMA and ARIMA. Smoothing series, computational techniques and computer packages for time series. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403217,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 497 - Reading in Statistics, 3,,, Any 300-level STAT course.,,,,," This course is designed to give credit to mature and able students for reading in areas not covered by courses, under the supervision of a staff member. A student, or group of students, wishing to use this course should find a staff member willing to supervise the proposed reading program. A detailed description of the material to be covered should be submitted to the Chair of the Department Honors Committee. (This should include a description of testing methods to be used.) The program will require the approval of both the Honors Committee, and the Chair of the Department. The students’ mastery of the material of the course will be tested by a written or oral examination. This course may be taken in Fall or Winter and may be taken any number of times, subject always to the approval mentioned above. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=405259,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 499 - Research Project, 3,,, a 300-level STAT course and consent of the course coordinator.,,,,, This course provides students in Specialization and Honors programs an opportunity to pursue research in statistics under the direction of a member of the Department. Course requirements include at least one oral presentation and a written final report. Students interested in taking this course should contact the course coordinator two months in advance. Credit for this course may be obtained more than once. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403218,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 501 - Directed Study I, 3,,, STAT 252 or 337 or equivalent and a course in linear algebra. Note: Cannot be used for credit towards a graduate program in Statistics.,,,,," Basic principles of experimental design, completely randomized design-one way ANOVA and ANCOVA. Randomized block design. Latin square design, Multiple comparisons. Nested designs. Factorial experiments. Each student will give a written report and seminar presentation highlighting statistical methods used in a research project. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403219,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 502 - Directed Study II, 3,,, STAT 337 or equivalent and a course in linear algebra. Note: Cannot be used for credit towards a graduate program in Statistics.,,,,," Simple linear regression analysis, inference on regression parameters, residual analysis, prediction intervals, weighted least squares. Multiple regression analysis, inference about regression parameters, multicollinearity and its effects, indicator variables, selection of independent variables. Non-linear regression. Each student will give a written report and seminar presentation highlighting statistical methods used in a research project. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403220,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 503 - Directed Study III, 3,,, STAT 372 and 378 or consent of Instructor.,,,,," Theory and applications of time series modelling, stationarity, autocorrelation. Spectral properties, filtering. Box-Jenkins models, seasonality. Each student will give a written report and seminar presentation highlighting statistical methods used in a research project. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403221,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 504 - Directed Study IV, 3,,, A course in Statistical Inference at the 300 level or permission from the instructor. Note: Cannot be used for credit towards a graduate program in Statistics.,,,,," Basic sampling schemes for finite populations: simple random sampling, stratified random sampling, systematic sampling and cluster sampling. Unequal probability sampling. Ratio and regression estimators. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403222,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 505 - Directed Study V, 3,,," STAT 501, 502 or equivalent. Note: Cannot be used for credit towards a thesis-based graduate program in Statistics.",,,,," Principles of statistical model building and analysis applied in linear and generalized linear models and illustrated through multivariate methods such as repeated measures, principal components, and supervised and unsupervised classification. Each student will give a written report and seminar presentation highlighting statistical methods used in a research project. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403223,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 512 - Techniques of Mathematics for Statistics, 3,,, consent of Department.,,,,," Introduction to mathematical techniques commonly used in theoretical Statistics, with applications. Applications of diagonalization results for real symmetric matrices, and of continuity, differentiation, Riemann-Stieltjes integration and multivariable calculus to the theory of Statistics including least squares estimation, generating functions, distribution theory. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403224,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 513 - Statistical Computing, 3,,, consent of the instructor.,,,,," Introduction to contemporary computational culture: reproducible coding, literate programming. Monte Carlo methods: random number generation, variance reduction, numerical integration, statistical simulations. Optimization (linear search, gradient descent, Newton-Raphson, method of scoring, and their specifics in the statistical context), EM algorithm. Fundamentals of convex optimization with constraints. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=404927,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 532 - Survival Analysis, 3,,, STAT 372 or consent of Department.,,,,," Survival and hazard functions, censoring, truncation. Non-parametric, parametric and semi-parametric approaches to survival analysis including Kaplan-Meier estimation and Cox’s proportional hazards model. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403225,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 537 - Statistical Methods for Applied Research II, 3,,, STAT 437 equivalent or consent of the instructor. Cannot be used for credit towards a graduate program in Statistics.,,,,," Review of basic statistical concepts of inference and probability theory. Includes applied methods of Linear and non-linear regression and analysis of variance for designed experiments, multiple comparisons, correlations, modeling and variable selection, multicolinearity, predictions, confounding and Simpson’s paradox. Includes case studies and real data applications. Each researcher works on a project to present, highlighting the methods used in the project. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=405254,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 541 - Statistics for Learning, 3,,, Consent of the instructor.,,,,," The course focuses on statistical learning techniques, in particular those of supervised classification, both from statistical (logistic regression, discriminant analysis, nearest neighbours, and others) and “machine learning” background (tree-based methods, neural networks, support vector machines), with the emphasis on decision-theoretic underpinnings and other statistical aspects, flexible model building (regularization with penalties), and algorithmic solutions. Selected methods of unsupervised classification (clustering) and some related regression methods are covered as well. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=405255,
